"","Word","I_Zscore","I_Mean_Accuracy","I_NMG_Zscore","I_NMG_Mean_Accuracy"
"1","zenith",-0.01,0.79,0.02,0.79
"2","zephyr",0.36,0.39,0.15,0.69
"3","zeppelin",0.51,0.61,0.29,0.96
"4","zero",-0.76,0.97,-0.53,1
"5","zeroed",0.48,0.76,0,1
"6","zeros",-0.61,1,-0.31,1
"7","zest",-0.39,0.94,-0.39,1
"8","zigzag",-0.07,1,-0.21,1
"9","zigzagging",0.32,0.78,0.17,1
"10","zimbabwe",0.38,0.91,0.27,0.88
"11","zinc",-0.45,0.91,-0.21,0.96
"12","zing",-0.01,0.59,-0.28,0.96
"13","zion",0.01,0.76,-0.24,0.92
"14","zip",-0.71,0.94,-0.48,1
"15","zipped",-0.38,0.94,-0.3,1
"16","zipper",-0.34,1,-0.4,1
"17","zippy",-0.17,0.88,-0.26,1
"18","zodiac",-0.21,0.94,-0.31,1
"19","zodiacal",0.94,0.41,0.7,0.67
"20","zombie",-0.25,0.94,-0.35,1
"21","zombies",-0.15,1,-0.33,1
"22","zone",-0.77,1,-0.5,1
"23","zoned",-0.32,0.91,-0.35,1
"24","zones",-0.67,1,-0.58,1
"25","zoning",-0.05,0.7,-0.01,1
"26","zoo",-0.79,0.97,-0.2,1
"27","zoologist",-0.12,1,0.19,0.82
"28","zoology",-0.34,0.97,-0.13,0.96
"29","zoom",-0.76,1,-0.44,1
"30","zooming",-0.29,0.88,-0.22,1
"31","zooms",-0.48,0.94,-0.55,1
"32","zucchini",0.24,0.85,0.21,0.96
"33","zurich",0.09,0.64,0.21,0.89
"34","wizardry",0.2,0.71,-0.22,0.72
"35","wobble",-0.08,0.88,-0.56,0.96
"36","wobbled",-0.03,0.88,-0.47,1
"37","wobbling",0.15,0.82,-0.38,0.96
"38","wobbly",0.11,0.77,-0.51,1
"39","woe",-0.21,0.74,-0.44,1
"40","woebegone",0.71,0.17,0.95,0.75
"41","woeful",0.15,0.7,-0.28,1
"42","woke",-0.25,0.88,-0.63,1
"43","wolf",-0.66,0.94,-0.76,1
"44","wolfgang",0.08,1,-0.19,1
"45","wolfhound",0.17,0.88,-0.01,0.96
"46","wolves",-0.54,0.94,-0.52,1
"47","woman",-0.73,1,-0.68,1
"48","womanhood",0.08,0.94,-0.08,1
"49","womanish",0.19,0.97,-0.17,1
"50","womanize",0.26,1,-0.42,0.96
"51","womanizer",0.01,1,-0.15,1
"52","womankind",0.33,1,-0.06,1
"53","womanly",-0.2,1,-0.46,1
"54","woman's",-0.6,1,-0.65,1
"55","womb",-0.32,0.81,-0.59,0.96
"56","wombat",0.05,0.64,-0.29,0.96
"57","women",-0.61,1,-0.74,1
"58","womenfolk",0.11,0.91,-0.1,0.92
"59","women's",-0.55,0.94,-0.57,1
"60","won",-0.54,0.91,-0.54,0.93
"61","wonder",-0.68,0.97,-0.49,1
"62","wondered",-0.42,1,-0.55,0.96
"63","wonderful",-0.5,1,-0.51,1
"64","wonderfully",-0.31,1,-0.34,1
"65","wonderfulness",0.18,0.94,0.07,1
"66","wondering",-0.29,0.91,-0.41,1
"67","wonderingly",0.5,0.94,0.13,0.85
"68","wonderland",0.1,0.94,-0.24,0.96
"69","wonders",-0.52,0.97,-0.39,1
"70","wondrous",0.35,0.77,-0.07,1
"71","wondrously",0.34,0.81,0.32,0.89
"72","wont",0.28,0.5,-0.62,0.79
"73","won't",-0.56,0.91,-0.45,1
"74","woo",-0.11,0.67,-0.41,1
"75","wood",-0.61,0.94,-0.63,1
"76","woodbine",0.12,0.45,-0.13,0.93
"77","woodblock",0.17,0.91,-0.18,1
"78","woodcarver",0.17,0.94,-0.04,0.96
"79","woodcock",0.33,0.81,-0.25,0.96
"80","woodcraft",-0.4,0.94,-0.4,1
"81","woodcut",-0.08,0.94,-0.44,0.96
"82","woodcutter",0.02,0.97,-0.25,1
"83","woodcutters",0.09,0.94,-0.15,1
"84","wooded",-0.04,0.91,-0.19,0.93
"85","wooden",-0.41,0.91,-0.45,1
"86","woodgraining",0.83,0.77,0.47,1
"87","woodland",-0.16,0.97,-0.25,1
"88","woodman",-0.01,0.97,-0.35,1
"89","woodpecker",-0.23,1,-0.4,1
"90","woodpile",-0.05,0.94,-0.2,1
"91","woodrow",0.12,0.74,-0.18,1
"92","woods",-0.8,0.97,-0.69,1
"93","woodshed",0.06,0.94,-0.32,0.96
"94","woodsman",-0.11,0.94,-0.51,0.96
"95","woodward",0.08,0.85,-0.16,1
"96","woodwind",-0.26,1,-0.05,1
"97","woodwork",-0.16,1,-0.4,1
"98","woodworking",-0.13,0.97,-0.29,0.96
"99","woodworm",0.51,0.86,-0.34,0.93
"100","woody",-0.49,1,-0.71,1
